armSkuName;numberOfCores;osDiskSizeInMB;memoryInMB;maxDataDiskCount;meterName
Standard_D8s_v3;8;1047552;32768;16;D8s v3 Low Priority
Standard_D8s_v3;8;1047552;32768;16;D8s v3 Low Priority
Standard_D8s_v3;8;1047552;32768;16;D8s v3 Low Priority
Standard_D8s_v3;8;1047552;32768;16;D8s v3 Low Priority
Standard_D8s_v3;8;1047552;32768;16;D8s v3 Low Priority
Standard_D4s_v3;4;1047552;16384;8;D4s v3 Spot
Standard_DS3_v2;4;1047552;14336;16;DS3 v2 Low Priority
Standard_D32as_v4;32;1047552;131072;32;D32as v4
Standard_D32as_v4;32;1047552;131072;32;D32as v4
Standard_D32as_v4;32;1047552;131072;32;D32as v4
Standard_D32as_v4;32;1047552;131072;32;D32as v4
Standard_D32as_v4;32;1047552;131072;32;D32as v4
Standard_D32as_v4;32;1047552;131072;32;D32as v4
Standard_D32as_v4;32;1047552;131072;32;D32as v4
Standard_D32as_v4;32;1047552;131072;32;D32as v4
Standard_D32as_v4;32;1047552;131072;32;D32as v4
Standard_D32as_v4;32;1047552;131072;32;D32as v4
Standard_D32as_v4;32;1047552;131072;32;D32as v4
Standard_D32as_v4;32;1047552;131072;32;D32as v4
Standard_D32as_v4;32;1047552;131072;32;D32as v4
Standard_D32as_v4;32;1047552;131072;32;D32as v4
Standard_D32as_v4;32;1047552;131072;32;D32as v4
Standard_D32as_v4;32;1047552;131072;32;D32as v4
Standard_D32as_v4;32;1047552;131072;32;D32as v4
Standard_D32as_v4;32;1047552;131072;32;D32as v4
Standard_D32as_v4;32;1047552;131072;32;D32as v4
Standard_D32as_v4;32;1047552;131072;32;D32as v4
Standard_D4s_v3;4;1047552;16384;8;D4s v3 Spot
Standard_D4s_v3;4;1047552;16384;8;D4s v3 Spot
Standard_E4s_v3;4;1047552;32768;8;E4s v3 Low Priority
Standard_F8s_v2;8;1047552;16384;16;F8s v2 Spot
Standard_D4s_v3;4;1047552;16384;8;D4s v3 Spot
Standard_D4s_v3;4;1047552;16384;8;D4s v3 Spot
Standard_D4s_v3;4;1047552;16384;8;D4s v3 Spot
Standard_D4s_v3;4;1047552;16384;8;D4s v3 Spot
Standard_D4s_v3;4;1047552;16384;8;D4s v3 Spot
Standard_D4s_v3;4;1047552;16384;8;D4s v3 Spot
Standard_D4s_v3;4;1047552;16384;8;D4s v3 Spot
Standard_D4s_v3;4;1047552;16384;8;D4s v3 Spot
Standard_D4s_v3;4;1047552;16384;8;D4s v3 Spot
Standard_F4s_v2;4;1047552;8192;8;F4s v2 Low Priority
Standard_F2s_v2;2;1047552;4096;4;F2s v2 Spot
Standard_F2s_v2;2;1047552;4096;4;F2s v2 Spot
Standard_F4s_v2;4;1047552;8192;8;F4s v2 Low Priority
Standard_F4s_v2;4;1047552;8192;8;F4s v2 Low Priority
Standard_F4s_v2;4;1047552;8192;8;F4s v2 Low Priority
Standard_F4s_v2;4;1047552;8192;8;F4s v2 Low Priority
Standard_D4ds_v5;4;1047552;16384;8;D4ds v5
Standard_E16s_v3;16;1047552;131072;32;E16s v3
Standard_E16s_v3;16;1047552;131072;32;E16s v3
Standard_E16s_v3;16;1047552;131072;32;E16s v3
Standard_D8as_v4;8;1047552;32768;16;D8as v4 Low Priority
Standard_D8as_v4;8;1047552;32768;16;D8as v4 Low Priority
Standard_D8as_v4;8;1047552;32768;16;D8as v4 Low Priority
Standard_D8as_v4;8;1047552;32768;16;D8as v4 Low Priority
Standard_B2ms;2;1047552;8192;4;B2ms
Standard_E16as_v5;16;1047552;131072;32;E16as v5 Low Priority
Standard_D16as_v5;16;1047552;65536;32;D16as v5
Standard_D16as_v5;16;1047552;65536;32;D16as v5
Standard_D16as_v5;16;1047552;65536;32;D16as v5
Standard_D16as_v5;16;1047552;65536;32;D16as v5
Standard_E32s_v3;32;1047552;262144;32;E32s v3
Standard_D8s_v3;8;1047552;32768;16;D8s v3 Low Priority
Standard_E4s_v3;4;1047552;32768;8;E4s v3 Low Priority
Standard_E4s_v3;4;1047552;32768;8;E4s v3 Low Priority
Standard_E4s_v3;4;1047552;32768;8;E4s v3 Low Priority
Standard_E4s_v3;4;1047552;32768;8;E4s v3 Low Priority
Standard_E4s_v3;4;1047552;32768;8;E4s v3 Low Priority
Standard_F16s_v2;16;1047552;32768;32;F16s v2 Low Priority
Standard_E4s_v3;4;1047552;32768;8;E4s v3 Low Priority
Standard_E4s_v3;4;1047552;32768;8;E4s v3 Low Priority
Standard_E8s_v3;8;1047552;65536;16;E8s v3
Standard_E8s_v3;8;1047552;65536;16;E8s v3
Standard_D64s_v4;64;1047552;262144;32;D64s v4
Standard_D64s_v4;64;1047552;262144;32;D64s v4
Standard_D64s_v4;64;1047552;262144;32;D64s v4
Standard_D64s_v4;64;1047552;262144;32;D64s v4
Standard_D64s_v4;64;1047552;262144;32;D64s v4
Standard_D64s_v4;64;1047552;262144;32;D64s v4
Standard_D64s_v4;64;1047552;262144;32;D64s v4
Standard_D64s_v4;64;1047552;262144;32;D64s v4
Standard_D64s_v4;64;1047552;262144;32;D64s v4
Standard_D64s_v4;64;1047552;262144;32;D64s v4
Standard_D64s_v4;64;1047552;262144;32;D64s v4
Standard_D64s_v4;64;1047552;262144;32;D64s v4
Standard_D8s_v4;8;1047552;32768;16;D8s v4 Low Priority
Standard_F72s_v2;72;1047552;147456;32;F72s v2
Standard_F72s_v2;72;1047552;147456;32;F72s v2
Standard_F72s_v2;72;1047552;147456;32;F72s v2
Standard_D8_v3;8;1047552;32768;16;D8 v3/D8s v3 Low Priority
Standard_D2as_v4;2;1047552;8192;4;D2as v4 Spot
Standard_D4s_v3;4;1047552;16384;8;D4s v3 Spot
Standard_D2as_v4;2;1047552;8192;4;D2as v4 Spot
Standard_D2_v2;2;1047552;7168;8;D2 v2/DS2 v2 Spot
Standard_D16s_v3;16;1047552;65536;32;D16s v3 Spot
Standard_D4as_v4;4;1047552;16384;8;D4as v4
Standard_D4as_v4;4;1047552;16384;8;D4as v4
Standard_D4as_v4;4;1047552;16384;8;D4as v4
Standard_D4as_v4;4;1047552;16384;8;D4as v4
Standard_D4as_v4;4;1047552;16384;8;D4as v4
Standard_D4as_v4;4;1047552;16384;8;D4as v4
Standard_D4as_v4;4;1047552;16384;8;D4as v4
Standard_F8s;8;1047552;16384;32;F8s Low Priority
Standard_F8s;8;1047552;16384;32;F8s Low Priority
Standard_E2as_v5;2;1047552;16384;4;E2as v5
Standard_E2as_v5;2;1047552;16384;4;E2as v5
Standard_F4s_v2;4;1047552;8192;8;F4s v2 Low Priority
Standard_DS12_v2;4;1047552;28672;16;DS12 v2 Low Priority
Standard_DS12_v2;4;1047552;28672;16;DS12 v2 Low Priority
Standard_DS12_v2;4;1047552;28672;16;DS12 v2 Low Priority
Standard_DS12_v2;4;1047552;28672;16;DS12 v2 Low Priority
Standard_D16as_v4;16;1047552;65536;32;D16as v4 Low Priority
Standard_D16as_v4;16;1047552;65536;32;D16as v4 Low Priority
Standard_D16as_v4;16;1047552;65536;32;D16as v4 Low Priority
Standard_D8s_v5;8;1047552;32768;16;D8s v5 Low Priority
Standard_D8s_v5;8;1047552;32768;16;D8s v5 Low Priority
Standard_D8s_v5;8;1047552;32768;16;D8s v5 Low Priority
Standard_D8s_v5;8;1047552;32768;16;D8s v5 Low Priority
Standard_E16s_v3;16;1047552;131072;32;E16s v3
Standard_E16s_v3;16;1047552;131072;32;E16s v3
Standard_E16s_v3;16;1047552;131072;32;E16s v3
Standard_E16s_v3;16;1047552;131072;32;E16s v3
Standard_E16s_v3;16;1047552;131072;32;E16s v3
Standard_E16s_v3;16;1047552;131072;32;E16s v3
Standard_E16s_v3;16;1047552;131072;32;E16s v3
Standard_E16s_v3;16;1047552;131072;32;E16s v3
Standard_E16s_v3;16;1047552;131072;32;E16s v3
Standard_E16s_v3;16;1047552;131072;32;E16s v3
Standard_E16s_v3;16;1047552;131072;32;E16s v3
Standard_E16s_v3;16;1047552;131072;32;E16s v3
Standard_E20as_v4;20;1047552;163840;32;E20as v4 Low Priority
Standard_E20as_v4;20;1047552;163840;32;E20as v4 Low Priority
Standard_A7;8;1047552;57344;16;A7 Spot
Standard_A7;8;1047552;57344;16;A7 Spot
Standard_A7;8;1047552;57344;16;A7 Spot
Standard_A7;8;1047552;57344;16;A7 Spot
Standard_A7;8;1047552;57344;16;A7 Spot
Standard_A7;8;1047552;57344;16;A7 Spot
Standard_A7;8;1047552;57344;16;A7 Spot
Standard_A7;8;1047552;57344;16;A7 Spot
Standard_F16s_v2;16;1047552;32768;32;F16s v2 Low Priority
Standard_D4s_v3;4;1047552;16384;8;D4s v3 Spot
Standard_D3_v2;4;1047552;14336;16;D3 v2/DS3 v2 Low Priority
Standard_D4_v3;4;1047552;16384;8;D4 v3/D4s v3 Spot
Standard_E4s_v3;4;1047552;32768;8;E4s v3 Low Priority
Standard_E4s_v3;4;1047552;32768;8;E4s v3 Low Priority
Standard_E4s_v3;4;1047552;32768;8;E4s v3 Low Priority
Standard_E4s_v3;4;1047552;32768;8;E4s v3 Low Priority
Standard_E4s_v3;4;1047552;32768;8;E4s v3 Low Priority
Standard_E4s_v3;4;1047552;32768;8;E4s v3 Low Priority
Standard_E4s_v3;4;1047552;32768;8;E4s v3 Low Priority
Standard_E4s_v3;4;1047552;32768;8;E4s v3 Low Priority
Standard_D16s_v4;16;1047552;65536;32;D16s v4 Low Priority
Standard_D16s_v4;16;1047552;65536;32;D16s v4 Low Priority
Standard_D16s_v4;16;1047552;65536;32;D16s v4 Low Priority
Standard_D16s_v4;16;1047552;65536;32;D16s v4 Low Priority
Standard_D16s_v4;16;1047552;65536;32;D16s v4 Low Priority
Standard_F32s_v2;32;1047552;65536;32;F32s v2 Low Priority
Standard_F32s_v2;32;1047552;65536;32;F32s v2 Low Priority
Standard_F32s_v2;32;1047552;65536;32;F32s v2 Low Priority
Standard_F32s_v2;32;1047552;65536;32;F32s v2 Low Priority
Standard_F32s_v2;32;1047552;65536;32;F32s v2 Low Priority
Standard_F32s_v2;32;1047552;65536;32;F32s v2 Low Priority
Standard_F32s_v2;32;1047552;65536;32;F32s v2 Low Priority
Standard_B16ms;16;1047552;65536;32;B16ms
Standard_F8s_v2;8;1047552;16384;16;F8s v2 Spot
Standard_F8s_v2;8;1047552;16384;16;F8s v2 Spot
Standard_F8s_v2;8;1047552;16384;16;F8s v2 Spot
Standard_F8s_v2;8;1047552;16384;16;F8s v2 Spot
Standard_F8s_v2;8;1047552;16384;16;F8s v2 Spot
Standard_D4_v2;8;1047552;28672;32;D4 v2/DS4 v2 Low Priority
Standard_E8as_v4;8;1047552;65536;16;E8as v4
Standard_E8as_v4;8;1047552;65536;16;E8as v4
Standard_E8as_v4;8;1047552;65536;16;E8as v4
Standard_E8as_v4;8;1047552;65536;16;E8as v4
Standard_E8as_v4;8;1047552;65536;16;E8as v4
Standard_E8as_v4;8;1047552;65536;16;E8as v4
Standard_E8as_v4;8;1047552;65536;16;E8as v4
Standard_E8as_v4;8;1047552;65536;16;E8as v4
Standard_D4_v2;8;1047552;28672;32;D4 v2/DS4 v2 Low Priority
Standard_D4_v2;8;1047552;28672;32;D4 v2/DS4 v2 Low Priority
Standard_D4_v2;8;1047552;28672;32;D4 v2/DS4 v2 Low Priority
Standard_D4_v2;8;1047552;28672;32;D4 v2/DS4 v2 Low Priority
Standard_D4_v2;8;1047552;28672;32;D4 v2/DS4 v2 Low Priority
Standard_D4_v2;8;1047552;28672;32;D4 v2/DS4 v2 Low Priority
Standard_D16s_v3;16;1047552;65536;32;D16s v3 Spot
Standard_D16s_v3;16;1047552;65536;32;D16s v3 Spot
Standard_D16s_v3;16;1047552;65536;32;D16s v3 Spot
Standard_D16s_v3;16;1047552;65536;32;D16s v3 Spot
Standard_D16s_v3;16;1047552;65536;32;D16s v3 Spot
Standard_D16s_v3;16;1047552;65536;32;D16s v3 Spot
Standard_B4ms;4;1047552;16384;8;B4ms
Standard_B2ms;2;1047552;8192;4;B2ms
Standard_B4ms;4;1047552;16384;8;B4ms
Standard_E2s_v3;2;1047552;16384;4;E2s v3
Standard_E2s_v3;2;1047552;16384;4;E2s v3
Standard_E2s_v3;2;1047552;16384;4;E2s v3
Standard_E2s_v4;2;1047552;16384;4;E2s v4
Standard_E2s_v4;2;1047552;16384;4;E2s v4
Standard_E4s_v3;4;1047552;32768;8;E4s v3 Low Priority
Standard_E4s_v3;4;1047552;32768;8;E4s v3 Low Priority
Standard_D16a_v4;16;1047552;65536;32;D16a v4/D16as v4 Low Priority
Standard_A4_v2;4;1047552;8192;8;A4 v2
Standard_E8as_v4;8;1047552;65536;16;E8as v4
Standard_E8as_v4;8;1047552;65536;16;E8as v4
Standard_E8as_v4;8;1047552;65536;16;E8as v4
Standard_E8as_v4;8;1047552;65536;16;E8as v4
Standard_L8s_v2;8;1047552;65536;16;L8s v2
Standard_D16s_v3;16;1047552;65536;32;D16s v3 Spot
Standard_D16s_v3;16;1047552;65536;32;D16s v3 Spot
Standard_E16s_v3;16;1047552;131072;32;E16s v3
Standard_E16s_v3;16;1047552;131072;32;E16s v3
Standard_D16s_v3;16;1047552;65536;32;D16s v3 Spot
Standard_L8s_v2;8;1047552;65536;16;L8s v2
Standard_D8s_v3;8;1047552;32768;16;D8s v3 Low Priority
Standard_D8s_v3;8;1047552;32768;16;D8s v3 Low Priority
Standard_D8s_v3;8;1047552;32768;16;D8s v3 Low Priority
Standard_D8s_v3;8;1047552;32768;16;D8s v3 Low Priority
Standard_D8s_v3;8;1047552;32768;16;D8s v3 Low Priority
Standard_D8s_v3;8;1047552;32768;16;D8s v3 Low Priority
Standard_DS2_v2;2;1047552;7168;8;DS2 v2 Spot
Standard_D16s_v3;16;1047552;65536;32;D16s v3 Spot
Standard_D16s_v3;16;1047552;65536;32;D16s v3 Spot
Standard_D16s_v3;16;1047552;65536;32;D16s v3 Spot
Standard_D32s_v3;32;1047552;131072;32;D32s v3 Low Priority
Standard_D32s_v3;32;1047552;131072;32;D32s v3 Low Priority
Standard_DS12_v2;4;1047552;28672;16;DS12 v2 Low Priority
Standard_D8s_v3;8;1047552;32768;16;D8s v3 Low Priority
Standard_D8s_v3;8;1047552;32768;16;D8s v3 Low Priority
Standard_D8s_v3;8;1047552;32768;16;D8s v3 Low Priority
Standard_D8s_v3;8;1047552;32768;16;D8s v3 Low Priority
Standard_D8s_v3;8;1047552;32768;16;D8s v3 Low Priority
Standard_D8s_v3;8;1047552;32768;16;D8s v3 Low Priority
Standard_D8s_v3;8;1047552;32768;16;D8s v3 Low Priority
Standard_E32ds_v4;32;1047552;262144;32;E32ds v4 Spot
Standard_E32ds_v4;32;1047552;262144;32;E32ds v4 Spot
Standard_E32ds_v4;32;1047552;262144;32;E32ds v4 Spot
Standard_E32ds_v4;32;1047552;262144;32;E32ds v4 Spot
Standard_E32ds_v4;32;1047552;262144;32;E32ds v4 Spot
Standard_E32ds_v4;32;1047552;262144;32;E32ds v4 Spot
Standard_E32ds_v4;32;1047552;262144;32;E32ds v4 Spot
Standard_E32ds_v4;32;1047552;262144;32;E32ds v4 Spot
Standard_D8s_v3;8;1047552;32768;16;D8s v3 Low Priority
Standard_D8s_v3;8;1047552;32768;16;D8s v3 Low Priority
Standard_D8s_v3;8;1047552;32768;16;D8s v3 Low Priority
Standard_E32ds_v4;32;1047552;262144;32;E32ds v4 Spot
Standard_E32ds_v4;32;1047552;262144;32;E32ds v4 Spot
Standard_E32ds_v4;32;1047552;262144;32;E32ds v4 Spot
Standard_E32ds_v4;32;1047552;262144;32;E32ds v4 Spot
Standard_E32ds_v4;32;1047552;262144;32;E32ds v4 Spot
Standard_E32ds_v4;32;1047552;262144;32;E32ds v4 Spot
Standard_E32ds_v4;32;1047552;262144;32;E32ds v4 Spot
Standard_E32ds_v4;32;1047552;262144;32;E32ds v4 Spot
Standard_D8s_v3;8;1047552;32768;16;D8s v3 Low Priority
Standard_D8s_v3;8;1047552;32768;16;D8s v3 Low Priority
Standard_D8s_v3;8;1047552;32768;16;D8s v3 Low Priority
Standard_E20ds_v4;20;1047552;163840;32;E20ds v4 Low Priority
Standard_E20ds_v4;20;1047552;163840;32;E20ds v4 Low Priority
Standard_E20ds_v4;20;1047552;163840;32;E20ds v4 Low Priority
Standard_E20ds_v4;20;1047552;163840;32;E20ds v4 Low Priority
Standard_E20ds_v4;20;1047552;163840;32;E20ds v4 Low Priority
Standard_E20ds_v4;20;1047552;163840;32;E20ds v4 Low Priority
Standard_E20ds_v4;20;1047552;163840;32;E20ds v4 Low Priority
Standard_E20ds_v4;20;1047552;163840;32;E20ds v4 Low Priority
Standard_D8s_v3;8;1047552;32768;16;D8s v3 Low Priority
Standard_D8s_v3;8;1047552;32768;16;D8s v3 Low Priority
Standard_E20ds_v4;20;1047552;163840;32;E20ds v4 Low Priority
Standard_E20ds_v4;20;1047552;163840;32;E20ds v4 Low Priority
Standard_E20ds_v4;20;1047552;163840;32;E20ds v4 Low Priority
Standard_E20ds_v4;20;1047552;163840;32;E20ds v4 Low Priority
Standard_E20ds_v4;20;1047552;163840;32;E20ds v4 Low Priority
Standard_E20ds_v4;20;1047552;163840;32;E20ds v4 Low Priority
Standard_E20ds_v4;20;1047552;163840;32;E20ds v4 Low Priority
Standard_E20ds_v4;20;1047552;163840;32;E20ds v4 Low Priority
Standard_D8s_v3;8;1047552;32768;16;D8s v3 Low Priority
Standard_D8s_v3;8;1047552;32768;16;D8s v3 Low Priority
Standard_D8s_v3;8;1047552;32768;16;D8s v3 Low Priority
Standard_E20ds_v4;20;1047552;163840;32;E20ds v4 Low Priority
Standard_E20ds_v4;20;1047552;163840;32;E20ds v4 Low Priority
Standard_E20ds_v4;20;1047552;163840;32;E20ds v4 Low Priority
Standard_E20ds_v4;20;1047552;163840;32;E20ds v4 Low Priority
Standard_E20ds_v4;20;1047552;163840;32;E20ds v4 Low Priority
Standard_E20ds_v4;20;1047552;163840;32;E20ds v4 Low Priority
Standard_E20ds_v4;20;1047552;163840;32;E20ds v4 Low Priority
Standard_E20ds_v4;20;1047552;163840;32;E20ds v4 Low Priority
Standard_D8s_v3;8;1047552;32768;16;D8s v3 Low Priority
Standard_D8s_v3;8;1047552;32768;16;D8s v3 Low Priority
Standard_D8s_v3;8;1047552;32768;16;D8s v3 Low Priority
Standard_D8s_v3;8;1047552;32768;16;D8s v3 Low Priority
Standard_D8s_v3;8;1047552;32768;16;D8s v3 Low Priority
Standard_D8s_v3;8;1047552;32768;16;D8s v3 Low Priority
Standard_E20ds_v4;20;1047552;163840;32;E20ds v4 Low Priority
Standard_E20ds_v4;20;1047552;163840;32;E20ds v4 Low Priority
Standard_E20ds_v4;20;1047552;163840;32;E20ds v4 Low Priority
Standard_E20ds_v4;20;1047552;163840;32;E20ds v4 Low Priority
Standard_E20ds_v4;20;1047552;163840;32;E20ds v4 Low Priority
Standard_E20ds_v4;20;1047552;163840;32;E20ds v4 Low Priority
Standard_E20ds_v4;20;1047552;163840;32;E20ds v4 Low Priority
Standard_E20ds_v4;20;1047552;163840;32;E20ds v4 Low Priority
Standard_E20ds_v4;20;1047552;163840;32;E20ds v4 Low Priority
Standard_D8s_v3;8;1047552;32768;16;D8s v3 Low Priority
Standard_D8s_v3;8;1047552;32768;16;D8s v3 Low Priority
Standard_M32ts;32;1047552;196608;32;M32ts Spot
Standard_M32ts;32;1047552;196608;32;M32ts Spot
Standard_M32ts;32;1047552;196608;32;M32ts Spot
Standard_M32ts;32;1047552;196608;32;M32ts Spot
Standard_M32ts;32;1047552;196608;32;M32ts Spot
Standard_M32ts;32;1047552;196608;32;M32ts Spot
Standard_M32ts;32;1047552;196608;32;M32ts Spot
Standard_M32ts;32;1047552;196608;32;M32ts Spot
Standard_D8s_v3;8;1047552;32768;16;D8s v3 Low Priority
Standard_D8s_v3;8;1047552;32768;16;D8s v3 Low Priority
Standard_D8s_v3;8;1047552;32768;16;D8s v3 Low Priority
Standard_D8s_v3;8;1047552;32768;16;D8s v3 Low Priority
Standard_M32ls;32;1047552;262144;32;M32ls
Standard_M32ls;32;1047552;262144;32;M32ls
Standard_M32ls;32;1047552;262144;32;M32ls
Standard_M32ls;32;1047552;262144;32;M32ls
Standard_M32ls;32;1047552;262144;32;M32ls
Standard_M32ls;32;1047552;262144;32;M32ls
Standard_M32ls;32;1047552;262144;32;M32ls
Standard_M32ls;32;1047552;262144;32;M32ls
Standard_M32ls;32;1047552;262144;32;M32ls
Standard_D8s_v3;8;1047552;32768;16;D8s v3 Low Priority
Standard_D8s_v3;8;1047552;32768;16;D8s v3 Low Priority
Standard_M32ls;32;1047552;262144;32;M32ls
Standard_M32ls;32;1047552;262144;32;M32ls
Standard_M32ls;32;1047552;262144;32;M32ls
Standard_M32ls;32;1047552;262144;32;M32ls
Standard_M32ls;32;1047552;262144;32;M32ls
Standard_M32ls;32;1047552;262144;32;M32ls
Standard_M32ls;32;1047552;262144;32;M32ls
Standard_M32ls;32;1047552;262144;32;M32ls
Standard_M32ls;32;1047552;262144;32;M32ls
Standard_M32ls;32;1047552;262144;32;M32ls
Standard_M32ls;32;1047552;262144;32;M32ls
Standard_M32ls;32;1047552;262144;32;M32ls
Standard_M32ls;32;1047552;262144;32;M32ls
Standard_M32ls;32;1047552;262144;32;M32ls
Standard_D8s_v3;8;1047552;32768;16;D8s v3 Low Priority
Standard_D8s_v3;8;1047552;32768;16;D8s v3 Low Priority
